risk_id,threat_scenario,asset,likelihood(H/M/L),impact(H/M/L),risk_score,risk_level,mitigation_controls,residual_risk,owner,priority,effort_estimate
RSK-001,Unauthorized Modbus write to control logic (MITRE T0831),"PLC_Treatment (172.21.0.11); PLC_Intake (172.21.0.10); PLC_Distribution (172.21.0.12)",H,H,9,EXTREME,"Purdue segmentation; gateway iptables allow-list restricting Modbus to HMI only (172.21.0.20); Scapy IDS rule UNAUTHORIZED_MODBUS_WRITE; Alertmanager paging; IR playbook IR_PLAYBOOK_PLC_TAMPERING.md",MEDIUM,Operations Security Engineer,P1,1-2 weeks
RSK-002,Process safety violation via unsafe command sequence (MITRE T0836),PLC_Intake (172.21.0.10); PLC_Treatment (172.21.0.11),M,H,6,HIGH,"Physics-aware IDS rule PROCESS_SAFETY_VIOLATION (tank-level interlock shadowing); HMI login controls; gateway default-drop; operator manual-override procedure",LOW,Plant Manager,P1,2-3 weeks
RSK-003,Network reconnaissance and scan of control zone (MITRE T0846),OT_Gateway (172.24.0.2); PLC_Intake (172.21.0.10),H,L,3,MEDIUM,"Gateway default-drop firewall; no route from IT to control except via chokepoint; OT_BRUTE_FORCE_SCAN detection on Modbus exception floods; CROSS_ZONE_VIOLATION alerting",LOW,Security Team,P2,1 week
RSK-004,Brute force or exception flooding against HMI and PLC Modbus server (MITRE T0846),OT_HMI (172.22.0.10); PLC_Intake (172.21.0.10),H,M,6,HIGH,"Scada-LTS user authentication; gateway rate limiting (partial); OT_BRUTE_FORCE_SCAN rule with 5-exception threshold; account lockout procedure (SR_1.1)",MEDIUM,Security Team,P1,2-4 weeks
RSK-005,DNP3 unauthorized write against field assets (MITRE T0831),PLC_Distribution (172.21.0.12),M,H,6,HIGH,"DNP3_WRITE_UNAUTHORIZED detection rule; gateway conduit filtering; protocol allow-listing; planned DNP3/TLS or tunneling (SR_4.1)",MEDIUM,Security Team,P2,3-5 weeks
RSK-006,Log tampering or deletion of audit evidence (Alerts_Log; InfluxDB ot_data),Alerts_Log (detection/logs); OT_Historian (172.23.0.10),H,M,6,HIGH,"Centralized JSON alert collection via Promtail to Loki (172.24.0.20); immutable/append-only target; Grafana SIEM (172.24.0.22) as read-only evidence store; SOC_Dashboard access restricted",MEDIUM,Security Team,P2,2-4 weeks
RSK-007,PLC logic tampering and persistence (MITRE T0853),PLC_Intake (172.21.0.10); PLC_Treatment (172.21.0.11); PLC_Distribution (172.21.0.12),M,H,6,HIGH,"PLC_LOGIC_TAMPERED detection; master logic hash stored on EWS (172.23.0.4); golden logic files in offline vault; change-management (MOC) approval (SR_3.3); IR restore procedure",MEDIUM,Engineering Lead,P1,3-6 weeks
RSK-008,Ransomware encryption of historian data (InfluxDB 1.8.10),OT_Historian (172.23.0.10),M,H,6,HIGH,"Historians isolated on ops_network (172.23.0.0/24, internal); no direct inbound exposure; gateway conduit control; backup strategy currently simulated (SR_7.3 Partial) - automated backups outstanding",HIGH,IT/Engineering Lead,P1,4-8 weeks
RSK-009,Insider threat via HMI compromise or misuse (stolen credentials),OT_HMI (172.22.0.10); Scada-LTS dashboard,M,M,4,MEDIUM,"Scada-LTS role-based access; multi-homed isolation (supervisory_network 172.22.0.0/24 + control 172.21.0.20); PROCESS_SAFETY_VIOLATION behavioral monitoring; background checks and least privilege (SR_2.1)",MEDIUM,Plant Manager,P2,2-3 weeks
RSK-010,Supply chain compromise of container images or dependencies,Gateway alpine:3.19; OpenPLC runtime images; Kali attacker image,L,H,3,MEDIUM,"Pinned image tags; Trivy and pip-audit in CI; gitleaks secrets scan; signature verification on vendor images where available (SR_1.2)",MEDIUM,DevSecOps Engineer,P3,2-3 weeks
RSK-011,Denial of service on PLC network stack via Modbus flood (MITRE T0814),PLC_Intake (172.21.0.10); PLC_Treatment (172.21.0.11); PLC_Distribution (172.21.0.12),H,M,6,HIGH,"Gateway rate limiting (partial); OT_BRUTE_FORCE_SCAN detection for early warning; PLC-side connection limits not yet implemented (SR_7.1 Partial)",HIGH,Security Team,P1,3-5 weeks
RSK-012,Passive sniffing of unencrypted Modbus/TCP traffic (MITRE T0869),Control network (172.21.0.0/24); HMI to PLC conduits,H,M,6,HIGH,"Layered zone isolation limiting sniffing surface; gateway segments L1-L4; no external access to control network; transition to Modbus/TCP Security or VPN tunnels required (SR_4.1 Partial)",HIGH,Security Team,P2,6-10 weeks
